timestamp,setup_idx,setup_name,scenario,cup_state,driptray_state,power_label,power_mW,sub,sub_layout,window_s,total_sweeps,cup1_ant1_reads,cup1_ant1_avg_rssi,cup1_ant2_reads,cup1_ant2_avg_rssi,cup2_ant1_reads,cup2_ant1_avg_rssi,cup2_ant2_reads,cup2_ant2_avg_rssi,misreads,overlaps,interrupted,verdict,cup1_epc,cup2_epc,notes
2026-05-20T09:15:34,2,Antennas at an Angle,H,Empty,Full,High,316,2,"Cup empty, drip tray full (liquid in tray). Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-59.41,0,,0,,78,-60.35,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:29:17,2,Antennas at an Angle,K,Empty,Empty,Medium,170,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,78,77,-60.9,0,,0,,78,-53.78,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,cups were in already
2026-05-20T13:29:57,2,Antennas at an Angle,K,Empty,Empty,Medium,170,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,79,48,-58.41,0,,1,-57.7,54,-58.95,1,1,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:31:25,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-55.56,0,,0,,78,-57.89,0,0,no,PASS,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:31:56,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,78,73,-53.26,66,-63.78,1,-66.6,2,-55.25,67,65,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:32:23,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-53.31,78,-63.98,0,,0,,78,78,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:32:48,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,78,78,-53.48,78,-63.97,0,,0,,78,78,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:33:15,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,77,63,-56.52,8,-55.4,2,-60.55,64,-53.6,10,10,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:34:11,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,77,77,-54.28,31,-61.28,0,,40,-59.55,31,31,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:47:49,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,76,55,-53.54,5,-62.32,16,-61.27,48,-53.04,21,12,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,
2026-05-20T13:48:30,2,Antennas at an Angle,L,Empty,Empty,High,316,4,"Drip tray empty, cup empty (no liquid).     Cup 1 on Ant1, Cup 2 on Ant2.",15,75,51,-48.09,2,-58.55,21,-58.74,63,-53.83,23,22,no,FAIL,E2801191A5040076596E6F76,E2801191A5040076596E6FD6,there is a clear ovrlap seen in multiple test runs
